SET NUMBER|CARD NUMBER|NAME|RARITY|THRESHOLD|TYPE|SUB TYPE|FACTION|SOCKET COUNT|COST|ATK|HEALTH|TEXT|FLAVOR|RESTRICTION|ARTIST|ENTERS PLAY EXHAUSTED|EQUIPMENT STRING|CURRENT RESOURCES ADDED|MAX RESOURCES ADDED|UUID
Set01_PvE_Arena|0|Mentor's Slippers|Common||Equipment|Feet||0||0|0|Each of your cards named  Nori have, "Deploy - Summon a Battle Hopper."||||0||0|0|8c4058e4-d69f-49a1-8bb4-6de59e2876ad
Primal Dawn|0|Orchi-noko|Epic|1 Diamond 1 Wild|Troop|Spirit|None|0|3|3|3|This has +1[ATK]/+1[DEF] for each health you gained this turn.|Once manifested, orchi-nokos are intensely curious about the sensations of the corporeal realm.||Arden Beckwith|0|41753b13-d589-464d-b826-9a9d684a766c, 37d3d43e-5a56-4dae-b779-0630f0d93472|0|0|a92251fd-e16d-470f-92e6-75236fa35494
Set01_PvE_Arena|0|Xocoy's Double-bladed Axe|Uncommon||Equipment|Weapon||0||0|0|Each of your cards named   Xocoy, High Cleric have, "Crush."||||0||0|0|5205a30b-3acd-4b43-9b9a-410be43d0c5e
Set01_PvE_Arena|0|Armor of the High Cleric|Legendary||Equipment|Chest||0||0|0|Each of your cards named Xocoy, High Cleric, have "When Xocoy enters your hand, reveal him. Then, summon a random Orc with cost (1)."||||0||0|0|91fc8b12-fcea-45e5-acaf-3376ed2f0020
Primal Dawn|0|Lightning Skyhunter|Epic|1 Diamond 1 Sapphire|Troop, Quick|Coyotle Warrior|Aria|0|6|4|4|Flight    Deploy - Troops with Flight you control get Invincible this turn. Ready each troop with Flight you control.|Like any animal, lightning can be tamed.||Xavier Ribeiro|0|f255c031-1da8-427c-9962-176a925bba5d, eaeb4317-ba3c-4470-8818-13c115a937e7|0|0|a1f13b28-a9f4-416e-b1a9-ff9dfefdf33a
Set01_PvE_Arena|0|Rusted Chestplate|Legendary||Equipment|Chest||0||0|0|Your Leeching Burrowers instead have, "Deathcry - Put this into your deck. Then, create a Leeching Burrower and put it into your deck. Then, all Leeching Burrowers in your deck get +[ATK]/+[DEF] each equal to their [ATK] and [DEF]."||||0||0|0|7e0863bc-c911-4da2-89e7-cbd0e449a0aa
Set01_PvE_Arena|0|Bloodworm Boots|Uncommon||Equipment|Feet||0||0|0|Your Leeching Burrowers have, "Speed and Crush."||||0||0|0|abf2c908-14df-4668-b56c-7c9388b27d4f
Set01_PvE_Arena|0|Gloves of Dismissal|Rare||Equipment|Gloves||0||0|0|Each of your cards named   Ushul have, "If the revealed card is a resource, bury the top five cards of each opposing champion's deck."||||0||0|0|89d2c8b7-6111-4d76-8e93-2bd7034e3cdc
Set01_PvE_Arena|0|Skittering Hood|Common||Equipment|Head||0||0|0|Each of your cards named   Ushul have, "Ushul has +1[ATK] for each Spiderspawn you control."||||0||0|0|53210407-dda8-41b2-b032-bb2d73b7a8bb
Primal Dawn|0|Psionic Flame|Epic|1 Ruby 1 Sapphire|Basic Action||None|0|1XX|0|0|Deal X damage to target champion or troop.    Draw X cards.|Some scholars fear that dependence on Hexing Gems will forever change what it is to be human.||Paolo Nagase Rotelli|0|e61c67cd-0717-4b96-82a4-ef7d54044ffe, 8fbdc225-b59e-4a1b-bea4-ca91c25009e7|0|0|5173ab94-10c7-48b0-8c5d-fac8d444bb31
Set01_PvE_Arena|0|Propagation Helm|Rare||Equipment|Head||0||0|0|Each of your cards named   VB1311 instead have, "Deploy - All your VB1311s in all zones get one of the following at random: Flight; Spellshield; Steadfast; Lifedrain; or Invincible."||||0||0|0|f28ca3d3-9340-446a-9d10-509750e527c2
Set01_PvE_Arena|0|Construction Gloves|Common||Equipment|Gloves||0||0|0|Each of your cards named VB1311 have, "Deploy - Add a construction counter to target Plans you control."||||0||0|0|8cf5807f-b721-452a-be17-aeebf6aea7fe
Primal Dawn|0|Orchin|Non-Collectible|1 Diamond 1 Wild|Troop|Spirit|None|0|2|0|0|As this enters play, it gets +1[ATK]/+1[DEF] for each health you gained this turn.|Each orchin speaks in a unique language that only the child who summoned it can understand.||Lee Setiawan|0||0|0|484f498d-8bda-42b1-882e-db107a5860c4
Set01_PvE_Arena|0|Dauntless Staff|Common||Equipment|Weapon||0||0|0|Each of your cards named   Sister Cynthia have, "Sister Cynthia has +1[ATK]/+1[DEF] for each human you control."||||0||0|0|8e34b27a-fb99-4770-bf22-f0c26d67974b
Set01_PvE_Arena|0|Helm of the Abbess|Rare||Equipment|Head||0||0|0|Each of your cards named Sister Cynthia have, "When you draw Sister Cynthia, reveal her. Then, create a random Human with Inspire and put it into your hand."||||0||0|0|8f87676f-e656-43ed-bf6b-55b3370504d3
Shards of Fate|0|Armor of the Inky Depths|Uncommon||Equipment|Chest||0||0|0|Each of your cards named The Kraken have, "[SAPPHIRE][SAPPHIRE][SAPPHIRE][SAPPHIRE][SAPPHIRE][SAPPHIRE]: The Kraken has cost -(2) in all zones."||||0||0|0|2f96e513-7d5a-49bb-8f7f-530e904a59ee
Shards of Fate|0|Hoop of the Kraken|Legendary||Equipment|Trinket||0||0|0|Your Kraken's Tentacles instead have, "Exhaust -> Target troop gets -1[ATK]/-1[DEF] this turn."||||0||0|0|20a4b10a-60a2-4c2b-baaf-fdb4c6f27ba6
Shards of Fate|0|Wrenlocke's Chestplate|Legendary||Equipment|Chest||0||0|0|Each of your cards named  Archmage Wrenlocke have, "When you play an action Archmage Wrenlocke gets +1[ATK]/+1[DEF]."||||0||0|0|473b0939-e7b4-495c-a79b-71c79ba4a43c
Shards of Fate|0|Gloves of the Archmage|Uncommon||Equipment|Gloves||0||0|0|Each of your cards named  Archmage Wrenlocke have, "Deploy - Put an action from your crypt into your hand."||||0||0|0|39c0846d-8c8c-4191-bfda-5088d5961995
Shards of Fate|0|Dancing Boots|Common||Equipment|Feet||0||0|0|Your Dream Dances have, "Put up to one card in your crypt on top of your deck."||||0||0|0|14f19d1d-3f78-4df1-b5c7-30cc016603c9
Shards of Fate|0|Mimicking Moccasins|Common||Equipment|Feet||0||0|0|Your Mimics instead have, "Create a replica of target troop and put it into your hand. Then, it gets "Exhaust -> Destroy target troop with the same name as this.""||||0||0|0|7c973c18-9ee9-4eb6-a060-ba7a955bbe3e
Shards of Fate|0|Pads of the Pious|Common||Equipment|Feet||0||0|0|Your Devoted Emissaries become Quick Troops.||||0||0|0|cbefcc3d-1f69-4b3a-a3df-87ae39d82bb8
Shards of Fate|0|The Mirrorblade|Legendary||Equipment|Weapon||0||0|0|Your Replicator's Gambits instead have, "Put up to six target troops you control into your deck. Those troops get "Deploy - Create six replicas of this and put them into play.""||||0||0|0|ace635ae-55b0-4eb9-8eec-fbdaf857f263
Shards of Fate|0|Thundering Bow|Rare||Equipment|Weapon||0||0|0|Your Menacing Gralks have, "When this deals damage to an opposing champion, create a Mesmerize and put it into your hand."||||0||0|0|16a74f9a-0eab-487f-a524-c7be091eebb8
Shards of Fate|0|Sword of Sapphires|Rare||Equipment|Weapon||0||0|0|Your Storm Colossi have, "At the start of the game, you may reveal this from your hand. If you do, put this into your deck and create a Sapphire Shard and put it into your hand."||||0||0|0|a78415a2-72d4-45e0-ac4e-613e253a1fad
Shards of Fate|0|Crown of the Ancient Kings|Rare||Equipment|Head||0||0|0|Your The Ancestors' Chosens instead have, "At the start of your turn, create three Ancestral Specters and put them into your deck."||||0||0|0|5eca7ada-ed26-497a-a488-7cee4e32bf89
Shards of Fate|0|Boots of the Dawn|Common||Equipment|Feet||0||0|0|Your Ascetic Aspirants have, "Steadfast."||||0||0|0|e22e2a62-a360-4232-9bf8-7216d911d5d1
Shards of Fate|0|Gauntlets of Austerity|Rare||Equipment|Gloves||0||0|0|Your Ascetic Aspirants have, "Exhaust -> Transform this into an Enlightened Seeker. Then, gain 1 health for each card in your hand."||||0||0|0|aa607c29-38b8-4e0c-aa65-f7df9604800b
Shards of Fate|0|Air Shoe|Uncommon||Equipment|Feet||0||0|0|Your Air Superiorities have, "(3) -> Target troop you control gets Flight this turn."||||0||0|0|36c66841-0b07-4208-a1ba-8a378ee6aa3d
Shards of Fate|0|Coriolis Boots|Rare||Equipment|Feet||0||0|0|Your Cloud Titans have, "Deathcry - Create a Blinding Light and put it into your hand."||||0||0|0|377fb2d9-6418-45cd-8c89-de8cd89ba3d9
Shards of Fate|0|Celestial Map|Common||Equipment|Trinket||0||0|0|Your Zodiac Shamans have, "Exhaust -> Ready each other troop you control."||||0||0|0|ddd9c6f1-87fd-4b2e-91c9-d3509004867a
Shards of Fate|0|Owlmaster's Glove|Common||Equipment|Gloves||0||0|0|Your Wizards of the Silver Talon instead have, "Deploy - Summon two Silver Talon Senators."||||0||0|0|3687c626-f3f1-419d-ae48-fc80d675304b
Shards of Fate|0|Fingers of Patience|Uncommon||Equipment|Gloves||0||0|0|Your Mystic of the Tranquil Dreams have, "When this deals damage to an opposing champion, choose a non-resource card in your hand. That card becomes quick."||||0||0|0|12a753c0-7676-4ee5-a59f-a8bfe6275718
Shards of Fate|0|Scepter of Nightmares|Uncommon||Equipment|Weapon||0||0|0|Your Inner Conflicts have, "Target troop gets "At the start of your turn, there is a 50% chance that this battles a random troop you control.""||||0||0|0|ded9a3e5-62e6-43c4-a80d-d07eb36546c8
Primal Dawn|0|Skarnbreath|Epic|2 Ruby|Basic Action||None|0|0X|0|0|Deal X damage to target troop.|What the typical orcish drinking song lacks in subtlety, it makes up for in pure destruction.||Tyler James|0|85a492c5-5a7d-4165-b95e-179fc48c77f4|0|0|cc430fdd-1650-4a2b-9e05-99c44f657897
Shards of Fate|0|The Dingler's Hood|Uncommon||Equipment|Head||0||0|0|Your Polymorph: Dinglers have, "cost - (2)."||||0||0|0|005d8dd9-023e-49c5-b6be-b7c2aa002448
Shards of Fate|0|Morphing Footwraps|Common||Equipment|Feet||0||0|0|Your Polymorph: Dinglers have, "Draw a card."||||0||0|0|91ac0ad6-5d8a-41de-8982-d082e5b9a6d5
Shards of Fate|0|Antimagic Helm|Common||Equipment|Head||0||0|0|Your Countermagics have, "This can't be interrupted."||||0||0|0|08d35b0e-c4f0-4fa8-ae6b-30e831f2f2e2
Shards of Fate|0|Song of the Ancestors|Common||Equipment|Trinket||0||0|0|Your Oracle Songs become Quick Actions.||||0||0|0|f3557f28-4690-4ea0-bdca-959a036545ae
Shards of Fate|0|Timepiercing Javelin|Common||Equipment|Weapon||0||0|0|Your Time Ripples instead have, "The targeted card gets cost +(2)."||||0||0|0|3d0501e3-d761-426c-b2ee-64e7c6b112ca
Shards of Fate|0|Slippers of Intellect|Common||Equipment|Feet||0||0|0|Your Sapphire Auras have, "Draw a card."||||0||0|0|7bdee007-e1b9-4c9c-96a0-31d2a9f4c179
Shards of Fate|0|Librarian's Shoes|Common||Equipment|Feet||0||0|0|Your Researcher Adepts instead have, "Deploy - If you control an artifact, draw two cards. Then choose and discard a card."||||0||0|0|7ab712be-7fa3-4170-ba60-1f705e9b47e3
Primal Dawn|0|Force of the Tomb|Epic|1 Diamond|Basic Action||None|0|4|0|0|[DIAMOND], Once per turn: When a Necrotic troop you control deals damage to a champion, if this is in your hand, you may play this for free.    Summon two Phantoms.|||Juan Carlos Barquet|0|123e0368-872f-400c-8202-6a56ef7356fb|0|0|b675e0a5-8b51-463e-9941-f6a574976044
Shards of Fate|0|Sworddancer's Limp|Uncommon||Equipment|Trinket||0||0|0|Your Buccaneers become Quick Troops.||||0||0|0|94048cbf-ab36-4b64-82af-6884eaa487b1
Shards of Fate|0|Thunderstrike Chestguard|Uncommon||Equipment|Chest||0||0|0|Your Thunderbirds have, "Deploy - Gain a charge."||||0||0|0|949ac56b-eafe-442e-9d24-9a8544461288
Shards of Fate|0|Sparrowrider's Crossbow|Common||Equipment|Weapon||0||0|0|Your Phoenix Guard Scouts have, "Other troops you control with Phoenix Guard in their name have +1[DEF]."||||0||0|0|6e8d47d9-6faa-48e2-86ff-77eb2a0a2499
Shards of Fate|0|Breastplate of Pulverizing|Legendary||Equipment|Chest||0||0|0|Your Rampaging Tarasques have, "Deathcry - You may pay 8 health. If you do, put this into your hand."||||0||0|0|ff554cda-f008-4f6f-8201-97aca211d630
Shards of Fate|0|Juggernaut Ring|Uncommon||Equipment|Trinket||0||0|0|Your Rampaging Tarasques have, "Deploy - Opposing troops with [ATK] 1 or less get "This can't block" this turn."||||0||0|0|c9a6ee02-54f8-4646-a2a9-57256157de4e
Primal Dawn|0|Totem of Lanupaw|Epic|1 Diamond|Troop|Totem|None|0|1|2|1|(3) -> Prophecy - The next troop in your deck gets one of the following at random: +1[ATK]/+1[DEF]; Flight; Lifedrain; Steadfast; or Swiftstrike.|Some coyotle tribes believe that Lanupaw's totem is imbued with dust from a fallen star.||Alvaro Estrada|0|76147ee0-ab11-47d4-96e8-07b1374ebd15, 8f38bf05-e7cd-476b-972e-0dc440ad619c|0|0|6b6535c5-f45e-45a0-be86-0db7f1f61aff
Shards of Fate|0|Big Red Button|Rare||Equipment|Trinket||0||0|0|Each of your cards named Plan C have, "Discard your hand. Artifact troops you control get +1[ATK]/+0[DEF]."||||0||0|0|e9866885-cc4a-4575-b143-09cdbdbd625e
Shards of Fate|0|Breastplate of the Zealot|Common||Equipment|Chest||0||0|0|Your Gore Feasts of Kog'Tepetl instead have, "Troops you control get Rage 1 and Speed this turn."||||0||0|0|263ff3f6-ad4a-4e7a-8711-678c795cdb79
Shards of Fate|0|Fireteller Helm|Common||Equipment|Head||0||0|0|Your Inferno Elementals have, "When this deals combat damage to an opposing champion, that champion loses [L0][R1]."||||0||0|0|f50fc1f1-6188-4450-ba2d-cea535ccb48c
Shards of Fate|0|Fire Javelin|Common||Equipment|Weapon||0||0|0|Your Total Meltdowns have, "Deal 1 damage to target champion for each artifact destroyed this way."||||0||0|0|90280b73-c60e-42af-bbd7-de375cb34fd5
Shards of Fate|0|Gauntlets of Courage|Legendary||Equipment|Gloves||0||0|0|Each of your cards named Lord Alexander, the Courageous have, "Prevent all damage that would be dealt to Lord Alexander, the Courageous by troops blocking him."||||0||0|0|20982bd7-b908-4658-a3ff-08413e618b62
Shards of Fate|0|Seaguard Helm|Rare||Equipment|Head||0||0|0|Your Kraken Guard Mariners have, "(10) -> Search your deck for The Kraken and put it into play.||||0||0|0|3fe2a6eb-41b5-4c60-b110-d36ba2037093
Shards of Fate|0|Kingmaker Gloves|Common||Equipment|Gloves||0||0|0|Your Crushing Blows have, "Orc troops you control get +1[ATK]/+0[DEF] this turn."||||0||0|0|09ce96a8-f01e-4c33-8cde-f2a6439032e7
Shards of Fate|0|Carnage Helm|Uncommon||Equipment|Head||0||0|0|Your Goreseekers have, "At the end of your turn, this gets +1[ATK] for each troop that died this turn."||||0||0|0|256c42f8-f7a9-4c4a-84bd-94e9f7953b25
Shards of Fate|0|Stabilizing Boots|Common||Equipment|Feet||0||0|0|Your Scrap Welders have, "When this deals damage to an opposing champion, you may put target Scrap Welder you control into your hand."||||0||0|0|3c996579-5628-40f8-8b27-75f70d2f34e6
Shards of Fate|0|Bolt Flingers|Common||Equipment|Gloves||0||0|0|Your Sword Trainers have, "Cost -(1)."||||0||0|0|f25cdfb3-4e1b-4983-a468-e4319c825295
Shards of Fate|0|Filched Charm|Uncommon||Equipment|Trinket||0||0|0|Your Imp Hoodlums instead have, "Gain control of target artifact."||||0||0|0|60295919-c18c-48b4-a4be-6bb131945519
Shards of Fate|0|Conflagration Gauntlets|Uncommon||Equipment|Gloves||0||0|0|Your Ruby Pyromancers have, "When this inspires a troop, this gets +1[ATK]."||||0||0|0|c1a2d75d-fc8e-49ce-a816-9ce45c48c53a
Shards of Fate|0|Blood Bauble|Rare||Equipment|Trinket||0||0|0|Your Furious Taskmasters have, "When another Orc enters play under your control, it gets Rage 1."||||0||0|0|c8d45467-da02-4238-9577-1423122c7778
Primal Dawn|0|Infinity Engine|Epic||Artifact|Engine|None|0|4|0|0|This enters play exhausted.    [BASIC]: Exhaust, Exhaust one or more other cards you control -> Gain [L1][R0] for each other card exhausted this way.|The Infinity Engine is a testament to dwarven impatience.||Ekey|0|45de16fa-2572-4cee-a0b3-48dd7e542703, f587ac55-b0b9-4315-85c0-00326ace8d94|0|0|3cc26124-62ac-4a6b-8ab7-2859cc92b055
Shards of Fate|0|Conflagration Handguards|Uncommon||Equipment|Gloves||0||0|0|Your Burns instead have, "Deal 3 damage to target champion or troop."||||0||0|0|0c4be045-6b67-4cf5-8839-c71c91984d44
Primal Dawn|0|Savvas' Familiar|Non-Collectible|2 Ruby|Troop|Elemental Beast|None|0|4|4|2|Flight, Speed    At the start of your turn, if this is in your hand, this transforms into one of the following at random: Savvas' Evocation; or Savvas' Brilliance.|||Xavier Ribeiro|0||0|0|e882d39d-6702-4af6-b2e5-85aaf2804157
Primal Dawn|0|Savvas' Brilliance|Non-Collectible|2 Ruby|Basic Action||None|0|4|0|0|Gain [L6][R0]. Gain [RUBY][RUBY].    At the start of your turn, if this is in your hand, this transforms into one of the following at random: Savvas' Evocation; or Savvas' Familiar.|||Xavier Ribeiro|0||0|0|7e0e4033-7780-47b5-a18b-e0b8d20fd567
Primal Dawn|0|Rowan|Non-Collectible|2 Diamond|Troop|Great Wolf|Aria|0|3|5|5|Steadfast, Swiftstrike    William Rowan you control have Swiftstrike and "This deals double damage".|Wise is the mind of the Wolf Knight, for we share our thoughts with the Ageless. Calm is the heart of the Wolf Knight, for we know unending Love. Sure is the soul of the Wolf Knight, for we are bound to Eternity.|Unique|Joseph Weston|0||0|0|4177bc5a-2bd8-4cc7-a3af-7b9d7d700918
Shards of Fate|0|Sultry Shell|Common||Equipment|Chest||0||0|0|Your Heat Waves have, "Then, deal 1 damage to each non-ruby troop."||||0||0|0|29b28c33-7295-4e16-9986-e7a9254b326c
Shards of Fate|0|Crimson Copperhead|Common||Equipment|Head||0||0|0|Your Crimson Clarities have, "Target ruby troop in your hand gets Speed."||||0||0|0|a692888a-9483-4e3e-87c8-340b375edafe
Shards of Fate|0|Rose Circlet|Common||Equipment|Trinket||0||0|0|Your Ruby Auras instead have, "Target troop gets +2[ATK] and Swiftstrike."||||0||0|0|12bc0098-4711-470a-8e67-751cf8f8b522
Shards of Fate|0|Prowling Slippers|Common||Equipment|Feet||0||0|0|Your Shadowblade Lurkers have, "Speed."||||0||0|0|cd67b20b-f12d-435f-9229-17541b04def1
Shards of Fate|0|Chestguard of Zealotry|Uncommon||Equipment|Chest||0||0|0|Your Bloodcrazed Zealots have, "When this deals damage to an opposing champion, you may sacrifice this. If you do, deal damage to target champion or troop equal to this troop's [ATK]."||||0||0|0|3d715327-bd7e-4e21-8c8d-2b950b9065ec
Shards of Fate|0|Lightning Medallion|Common||Equipment|Trinket||0||0|0|Your Arena Brawlers have, "While you control another Orc, this has Speed."||||0||0|0|94ffd65d-8ecb-4bda-91bc-f091ef5461e2
Primal Dawn|0|Kismet's Eye Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - Gain a random threshold. Void this.|||Tyler James|0||0|0|bbeaf2b0-11b5-4108-94e8-1c7767cdfbed
Primal Dawn|0|Kismet's Skull Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - Gain 1 health. Void this.|||Tyler James|0||0|0|d251efc7-939b-4650-bfec-f71919b106f8
Primal Dawn|0|Kismet's Spider Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - Bury the top card of each opposing champion's deck. Void this.|||Tyler James|0||0|0|fba4b629-fe2e-4bfe-9e22-43f464f2ed4d
Primal Dawn|0|Kismet's Mushroom Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - This deals 1 damage to each opposing champion. Void this.|||Tyler James|0||0|0|ee1fc357-6191-4218-9480-ea10fa38c70e
Primal Dawn|0|Kismet's Hand Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - Gain a charge. Void this.|||Tyler James|0||0|0|8afe36e4-d4e6-421f-862e-b8a5490ff742
Primal Dawn|0|Kismet's Heart Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - A random troop you control gets +1[ATK]/+1[DEF]. Void this.|||Tyler James|0||0|0|bdd1e67b-9cc9-443e-80e2-a5e5752c0e71
Primal Dawn|0|Kismet's Star Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - Summon a Kismet's Omen. Void this.|||Tyler James|0||0|0|39a03600-6fc1-4e15-b0a6-d3316e2328f9
Primal Dawn|0|Kismet's Crown Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - Gain [L0][R1]. Void this.|||Tyler James|0||0|0|112f4c05-210f-4f5c-88c3-c0354709edd1
Primal Dawn|0|Kismet's Moon Coin|Non-Collectible||Artifact|Coin of Kismet|None|0|0|0|0|When this enters your hand, play it for free.    Deploy - Draw a card. Void this.|||Tyler James|0||0|0|92e1758a-99c0-4f01-912a-ee4b94d14018
Primal Dawn|0|Kismet's Omen|Non-Collectible||Troop|Omen|None|0|1|1|1|Flight|||Sam Carr|0||0|0|9973ddaa-461f-451e-832b-06b1208155d2
Primal Dawn|0|Choose Rage 1|Non-Collectible||Resource||None|0|0|0|0|A random Orc you control or in your hand gets Rage 1.|||El Garing|0||0|0|ae30daf5-3b89-4862-9931-8da024978d16
Primal Dawn|0|Choose Worker Bot|Non-Collectible||Resource||None|0|0|0|0|Summon a Worker Bot.|||Jeremy Love|0||0|0|3e59dcca-6af0-4b51-a360-09d58ca27b51
Primal Dawn|0|Choose Battle Hopper|Non-Collectible||Resource||None|0|0|0|0|Summon a Battle Hopper.|||Phroilan Gardner|0||0|0|832424b5-3410-4cd7-9035-e238e476688b
Shards of Fate|0|Glittering Knuckles|Uncommon||Equipment|Gloves||0||0|0|Your Gem-Crazed Berserkers have, "(5) -> This gets "This deals double damage" this turn."||||0||0|0|e56b1b97-2ec9-472b-a39e-2ede8699f093
Primal Dawn|0|Empowered Concuss|Non-Collectible|1 Blood|Basic Action||None|0|2|0|0|Deal 2 damage to target champion. That champion discards 2 cards.|"Okay, that time it hurt."||Rafal Hrynkiewicz|0||0|0|07877c88-d654-4333-99ec-2b1f273cf11a
Primal Dawn|0|Empowered Grave Offering|Non-Collectible|2 Blood|Basic Action||None|0|4|0|0|Put up to 4 target troops in crypts into your hand.|||Marco Alvares|0|baf4ac9c-e6bd-471d-9ea9-6fe91257cc31|0|0|83d60f59-8af9-4d2f-ac81-943ae10c5138
Primal Dawn|0|Empowered Nightsky Prophet|Non-Collectible|2 Wild|Troop|Coyotle Ranger|Aria|0|3|3|2|Prophecy Deploy - The next troop in your deck gets +4[ATK]/+2[DEF].|"... and the day spirits have only dawn and dusk to glimpse the stars."||Stephanie Bohm|0||0|0|4cf51982-79b4-4de3-a0c9-608d58636389
Primal Dawn|0|Empowered Treetop Guardian|Non-Collectible|1 Wild|Troop|Elf Ranger|Aria|0|3|1|3|Skyguard|||Wei Zi|0||0|0|cfd98f49-597b-4d12-84a5-0eaf15d40609
Primal Dawn|0|Empowered Gale Force|Non-Collectible|1 Wild|Quick Action||None|0|2|0|0|Deal 4 damage to each troop with Flight.|||Apterus|0|6fdb61c9-196b-415e-b072-16b325848696|0|0|9672d492-9e7a-41bc-a089-221058a3fb83
Primal Dawn|0|Empowered Lyrical Chanter|Non-Collectible|1 Wild|Troop|Elf Rogue|Aria|0|2|2|1|Deploy - Create 2 random Chants and put them into your hand.|"The chants of the other three?  They matter little to me."||Henri Maxime Chiasson|0||0|0|6ccc8f11-be94-4ab9-b91e-fbe185cb02e3
Primal Dawn|0|Empowered Crazed Raider|Non-Collectible|1 Ruby|Troop|Orc Ranger|Aria|0|2|2|1|Rage 2|Then kill everything that stands still.||Steve Hamilton|0||0|0|fefc39c8-06da-4cbf-9d01-582212a1c40b
Primal Dawn|0|Empowered Ashwood Apprentice|Non-Collectible|1 Ruby|Troop|Elf Mage|Aria|0|3|3|2|Deploy - Up to 2 target troops get "This can't block" this turn.|Fleeing their fury should be your aim.||Micah Epstein|0||0|0|abc674dc-60c2-43e3-be15-7c75c824ea00
Primal Dawn|0|Empowered Burning Tendrils|Non-Collectible|2 Ruby|Quick Action||None|0|3|0|0|Deal 6 damage to target troop. Deal 4 damage to that troop's controller.|||Botos Vlad|0||0|0|398d5788-ac5f-4bae-9b27-69de8ebb8413
Primal Dawn|0|Empowered Cry of Gawaine|Non-Collectible|1 Ruby|Quick Action||None|0|2|0|0|Troops you control get +2[ATK] and Swiftstrike this turn.|||Eric Kenji|0||0|0|644688f5-bf81-4cd6-85b1-d7b7f319fd8c
Primal Dawn|0|Empowered Stingshot Sniper|Non-Collectible|2 Ruby|Troop|Elf Ranger|Aria|0|3|2|2|Flight    When this attacks, it deals damage equal to its [ATK] to 2 random opposing champions or troops.|... shooting arrows down at all that stir.||Firat Solhan|0|593b7304-089e-44ad-9c73-3a6da4f07585|0|0|f2b9b0cf-dc11-49dc-97f8-4a8cf40ff3e6
Primal Dawn|0|Empowered Stingshot Sniper|Non-Collectible|2 Ruby|Troop|Elf Ranger|Aria|0|3|2|2|Flight    When this attacks, it deals damage equal to its [ATK] to 2 random opposing champions or troops.|... shooting arrows down at all that stir.||Polar Engine Studio|0|593b7304-089e-44ad-9c73-3a6da4f07585|0|0|c4b7e974-83c3-4c94-a832-e99c3e04475e
Primal Dawn|0|Empowered Electrofry|Non-Collectible|2 Ruby|Basic Action||None|0|4|0|0|Deal 6 damage to each champion and troop.|||Marina Beldiman|0||0|0|b7c5903d-7bb6-48c8-a1e8-762511cd898a
Primal Dawn|0|Empowered Electrofry|Non-Collectible|2 Ruby|Basic Action||None|0|4|0|0|Deal 6 damage to each champion and troop.|||Paolo Nagase Rotelli|0||0|0|46fdc724-a7e4-4edc-aed2-6f36fa3d26fd
Primal Dawn|0|Empowered Adamanthian Captain|Non-Collectible|1 Diamond|Troop|Human Warrior|Aria|0|3|2|3||"And on my watch, they never will."||Justin Gerrard|0||0|0|66733d1b-84d2-4ad7-8a96-d4b0cd345763
Primal Dawn|0|Empowered Mesa Totemist|Non-Collectible|1 Diamond|Troop|Coyotle Cleric|Aria|0|3|1|4|When you gain health, this gets +6[ATK] and Swiftstrike this turn.|The spirit of the dead coyotle will often reside in the memorial, so the totem animal is chosen that best embodies the spirit's nature.||Aleksander Karcz|0|dce1bb30-54e6-4da4-819c-b2e5e3e46108, b3ea4404-fc5b-4ec6-9635-2ce23f6e09a6|0|0|15c5df6e-9f64-4f1e-bb3a-dac3158a8e8c
Primal Dawn|0|Empowered Soothsaying|Non-Collectible|1 Sapphire|Basic Action||None|0|3|0|0|Draw 4 cards, then choose and discard 2 cards.|... you must have the wisdom to discern what is worth knowing.||Jason Ward|0||0|0|9d49b001-cebf-415b-9e0b-38bd5f51505a
Primal Dawn|0|Empowered Cyclone Shaper|Non-Collectible|2 Sapphire|Troop|Coyotle Mage|Aria|0|3|2|3|Flight    Actions in your hand have cost -(2).|... before you can learn to shape the wind.||Sam Carr|0||0|0|a7c72f6c-9637-4000-86f9-acbcdfa9af15
Primal Dawn|0|Empowered Cyclone Shaper|Non-Collectible|2 Sapphire|Troop|Coyotle Mage|Aria|0|3|2|3|Flight    Actions in your hand have cost -(2).|... before you can learn to shape the wind.||Wei Zi|0||0|0|fdf8830f-cf23-42d8-b172-38d412f8379c
Primal Dawn|0|Empowered Splitskull Gladiator|Non-Collectible|1 Blood|Troop|Orc Warrior|Aria|0|3|3|2||||Mark Tarrisse|0|16c4300d-f06d-4571-a618-48b0ebbfc34e|0|0|fe848249-9699-4142-884b-3c80bf364965
