Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
394717|Summit Prowler|DTK|Creature - Yeti|C|2RR|4|4|3||
394718|Sunbringer's Touch|DTK|Sorcery|R|2GG|4||||Bolster X, where X is the number of cards in your hand. Each creature you control with a +1/+1 counter on it gains trample until end of turn. (To bolster X, choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.)
394719|Sunscorch Regent|DTK|Creature - Dragon|R|3WW|5|4|3||Flying  Whenever an opponent casts a spell, put a +1/+1 counter on Sunscorch Regent and you gain 1 life.
394720|Surge of Righteousness|DTK|Instant|U|1W|2||||Destroy target black or red creature that's attacking or blocking. You gain 2 life.
394721|Surrak, the Hunt Caller|DTK|Legendary Creature - Human Warrior|R|2GG|4|5|4||Formidable - At the beginning of combat on your turn, if creatures you control have total power 8 or greater, target creature you control gains haste until end of turn.
394722|Swamp|DTK|Basic Land - Swamp|C||0||||B
394725|Swift Warkite|DTK|Creature - Dragon|U|4BR|6|4|4||Flying  When Swift Warkite enters the battlefield, you may put a creature card with converted mana cost 3 or less from your hand or graveyard onto the battlefield. That creature gains haste. Return it to your hand at the beginning of the next end step.
394726|Taigam's Strike|DTK|Sorcery|C|3U|4||||Target creature gets +2/+0 until end of turn and can't be blocked this turn.  Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
394727|Tail Slash|DTK|Instant|C|2R|3||||Target creature you control deals damage equal to its power to target creature you don't control.
394728|Tapestry of the Ages|DTK|Artifact|U|4|4||||2, T: Draw a card. Activate this ability only if you've cast a noncreature spell this turn.
394729|Territorial Roc|DTK|Creature - Bird|C|1W|2|1|3||Flying
394730|Thunderbreak Regent|DTK|Creature - Dragon|R|2RR|4|4|4||Flying  Whenever a Dragon you control becomes the target of a spell or ability an opponent controls, Thunderbreak Regent deals 3 damage to that player.
394731|Tormenting Voice|DTK|Sorcery|C|1R|2||||As an additional cost to cast Tormenting Voice, discard a card.  Draw two cards.
394732|Tread Upon|DTK|Instant|C|1G|2||||Target creature gets +2/+2 and gains trample until end of turn.
394733|Twin Bolt|DTK|Instant|C|1R|2||||Twin Bolt deals 2 damage divided as you choose among one or two target creatures and/or players.
394734|Ukud Cobra|DTK|Creature - Snake|U|3B|4|2|5||Deathtouch
394735|Ultimate Price|DTK|Instant|U|1B|2||||Destroy target monocolored creature.
394736|Updraft Elemental|DTK|Creature - Elemental|C|2U|3|1|4||Flying
394737|Vandalize|DTK|Sorcery|C|4R|5||||Choose one or both -  - Destroy target artifact.  - Destroy target land.
394738|Vial of Dragonfire|DTK|Artifact|C|2|2||||2, T, Sacrifice Vial of Dragonfire: Vial of Dragonfire deals 2 damage to target creature.
394739|Virulent Plague|DTK|Enchantment|U|2B|3||||Creature tokens get -2/-2.
394740|Void Squall|DTK|Sorcery|U|4U|5||||Return target nonland permanent to its owner's hand.  Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
394741|Volcanic Rush|DTK|Instant|C|4R|5||||Attacking creatures get +2/+0 and gain trample until end of turn.
394742|Volcanic Vision|DTK|Sorcery|R|5RR|7||||Return target instant or sorcery card from your graveyard to your hand. Volcanic Vision deals damage equal to that card's converted mana cost to each creature your opponents control. Exile Volcanic Vision.
394743|Vulturous Aven|DTK|Creature - Bird Shaman|C|3B|4|2|3||Flying  Exploit (When this creature enters the battlefield, you may sacrifice a creature.)  When Vulturous Aven exploits a creature, you draw two cards and you lose 2 life.
394744|Wandering Tombshell|DTK|Creature - Zombie Turtle|C|3B|4|1|6||
394745|Warbringer|DTK|Creature - Orc Berserker|U|3R|4|3|3||Dash costs you pay cost 2 less (as long as this creature is on the battlefield).  Dash 2R (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)
394746|Youthful Scholar|DTK|Creature - Human Wizard|U|3U|4|2|2||When Youthful Scholar dies, draw two cards.
394747|Zephyr Scribe|DTK|Creature - Human Monk|C|2U|3|2|1||U, T: Draw a card, then discard a card.  Whenever you cast a noncreature spell, untap Zephyr Scribe.
394748|Zurgo Bellstriker|DTK|Legendary Creature - Orc Warrior|R|R|1|2|2||Zurgo Bellstriker can't block creatures with power 2 or greater.  Dash 1R (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)
394573|Forest|DTK|Basic Land - Forest|C||0||||G
394574|Forest|DTK|Basic Land - Forest|C||0||||G
394603|Island|DTK|Basic Land - Island|C||0||||U
394604|Island|DTK|Basic Land - Island|C||0||||U
394629|Mountain|DTK|Basic Land - Mountain|C||0||||R
394630|Mountain|DTK|Basic Land - Mountain|C||0||||R
394650|Plains|DTK|Basic Land - Plains|C||0||||W
394651|Plains|DTK|Basic Land - Plains|C||0||||W
394723|Swamp|DTK|Basic Land - Swamp|C||0||||B
394724|Swamp|DTK|Basic Land - Swamp|C||0||||B
45307|Abyssal Specter|8E|Creature - Specter|U|2BB|4|2|3||Flying  Whenever Abyssal Specter deals damage to a player, that player discards a card.
45255|Air Elemental|8E|Creature - Elemental|U|3UU|5|4|4||Flying
45487|Aladdin's Ring|8E|Artifact|R|8|8||||8, T: Aladdin's Ring deals 4 damage to target creature or player.
45313|Ambition's Cost|8E|Sorcery|U|3B|4||||You draw three cards and you lose 3 life.
45364|Anaba Shaman|8E|Creature - Minotaur Shaman|C|3R|4|2|2||R, T: Anaba Shaman deals 1 damage to target creature or player.
45195|Angel of Mercy|8E|Creature - Angel|U|4W|5|3|3||Flying  When Angel of Mercy enters the battlefield, you gain 3 life.
45172|Angelic Page|8E|Creature - Angel Spirit|C|1W|2|1|1||Flying  T: Target attacking or blocking creature gets +1/+1 until end of turn.
45268|Archivist|8E|Creature - Human Wizard|R|2UU|4|1|1||T: Draw a card.
45194|Ardent Militia|8E|Creature - Human Soldier|U|4W|5|2|5||Vigilance
46617|Avatar of Hope|8E|Creature - Avatar|R|6WW|8|4|9||If you have 3 or less life, Avatar of Hope costs 6 less to cast.  Flying  Avatar of Hope can block any number of creatures.
45177|Aven Cloudchaser|8E|Creature - Bird Soldier|C|3W|4|2|2||Flying (This creature can't be blocked except by creatures with flying or reach.)  When Aven Cloudchaser enters the battlefield, destroy target enchantment.
45261|Aven Fisher|8E|Creature - Bird Soldier|C|3U|4|2|2||Flying (This creature can't be blocked except by creatures with flying or reach.)  When Aven Fisher dies, you may draw a card.
45179|Aven Flock|8E|Creature - Bird Soldier|C|4W|5|2|3||Flying (This creature can't be blocked except by creatures with flying or reach.)  W: Aven Flock gets +0/+1 until end of turn.
45276|Balance of Power|8E|Sorcery|R|3UU|5||||If target opponent has more cards in hand than you, draw cards equal to the difference.
45345|Balduvian Barbarians|8E|Creature - Human Barbarian|C|1RR|3|3|2||
45488|Beast of Burden|8E|Artifact Creature - Golem|R|6|6|*|*||Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.
45439|Birds of Paradise|8E|Creature - Bird|R|G|1|0|1||Flying  T: Add one mana of any color to your mana pool.
45434|Blanchwood Armor|8E|Enchantment - Aura|U|2G|3||||Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)  Enchanted creature gets +1/+1 for each Forest you control.
45379|Blaze|8E|Sorcery|U|XR|1||||Blaze deals X damage to target creature or player.
45216|Blessed Reversal|8E|Instant|R|1W|2||||You gain 3 life for each creature attacking you.
45211|Blinding Angel|8E|Creature - Angel|R|3WW|5|2|4||Flying (This creature can't be blocked except by creatures with flying or reach.)  Whenever Blinding Angel deals combat damage to a player, that player skips his or her next combat phase.
45386|Blood Moon|8E|Enchantment|R|2R|3||||Nonbasic lands are Mountains.
45387|Bloodshot Cyclops|8E|Creature - Cyclops Giant|R|5R|6|4|4||T, Sacrifice a creature: Bloodshot Cyclops deals damage equal to the sacrificed creature's power to target creature or player.
45284|Bog Imp|8E|Creature - Imp|C|1B|2|1|1||Flying (This creature can't be blocked except by creatures with flying or reach.)
45308|Bog Wraith|8E|Creature - Wraith|U|3B|4|3|3||Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
45373|Boil|8E|Instant|U|3R|4||||Destroy all Islands.
45243|Boomerang|8E|Instant|C|UU|2||||Return target permanent to its owner's hand.
45472|Brass Herald|8E|Artifact Creature - Golem|R|6|6|2|2||As Brass Herald enters the battlefield, choose a creature type.  When Brass Herald enters the battlefield, reveal the top four cards of your library. Put all creature cards of the chosen type revealed this way into your hand and the rest on the bottom of your library in any order.  Creatures of the chosen type get +1/+1.
45279|Bribery|8E|Sorcery|R|3UU|5||||Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles his or her library.
46620|Call of the Wild|8E|Enchantment|R|2GG|4||||2GG: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.
45401|Canopy Spider|8E|Creature - Spider|C|1G|2|1|3||Reach (This creature can block creatures with flying.)
45353|Canyon Wildcat|8E|Creature - Cat|C|1R|2|2|1||Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
45306|Carrion Wall|8E|Creature - Wall|U|1BB|3|3|2||Defender (This creature can't attack.)  1B: Regenerate Carrion Wall.
45245|Catalog|8E|Instant|C|2U|3||||Draw two cards, then discard a card.
45200|Chastise|8E|Instant|U|3W|4||||Destroy target attacking creature. You gain life equal to its power.
45431|Choke|8E|Enchantment|U|2G|3||||Islands don't untap during their controllers' untap steps.
45341|Cinder Wall|8E|Creature - Wall|C|R|1|3|3||Defender  When Cinder Wall blocks, destroy it at end of combat.
45204|Circle of Protection: Black|8E|Enchantment|U|1W|2||||1: The next time a black source of your choice would deal damage to you this turn, prevent that damage.
45203|Circle of Protection: Blue|8E|Enchantment|U|1W|2||||1: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.
45206|Circle of Protection: Green|8E|Enchantment|U|1W|2||||1: The next time a green source of your choice would deal damage to you this turn, prevent that damage.
45205|Circle of Protection: Red|8E|Enchantment|U|1W|2||||1: The next time a red source of your choice would deal damage to you this turn, prevent that damage.
45202|Circle of Protection: White|8E|Enchantment|U|1W|2||||1: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
45496|City of Brass|8E|Land|R||0||||Whenever City of Brass becomes tapped, it deals 1 damage to you.  T: Add one mana of any color to your mana pool.
45233|Coastal Hornclaw|8E|Creature - Bird|C|4U|5|3|3||Sacrifice a land: Coastal Hornclaw gains flying until end of turn.
46618|Coastal Piracy|8E|Enchantment|R|2UU|4||||Whenever a creature you control deals combat damage to an opponent, you may draw a card.
45491|Coastal Tower|8E|Land|U||0||||Coastal Tower enters the battlefield tapped.  T: Add W or U to your mana pool.
45485|Coat of Arms|8E|Artifact|R|5|5||||Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)
45297|Coercion|8E|Sorcery|C|2B|3||||Target opponent reveals his or her hand. You choose a card from it. That player discards that card.
45456|Collective Unconscious|8E|Sorcery|R|4GG|6||||Draw a card for each creature you control.
45262|Concentrate|8E|Sorcery|U|2UU|4||||Draw three cards.
45273|Confiscate|8E|Enchantment - Aura|U|4UU|6||||Enchant permanent (Target a permanent as you cast this. This card enters the battlefield attached to that permanent.)  You control enchanted permanent.
45247|Coral Eel|8E|Creature - Fish|C|1U|2|2|1||
45280|Cowardice|8E|Enchantment|R|3UU|5||||Whenever a creature becomes the target of a spell or ability, return that creature to its owner's hand. (It won't be affected by the spell or ability.)
47280|Craw Wurm|8E|Creature - Wurm|C|4GG|6|6|4||
45438|Creeping Mold|8E|Sorcery|U|2GG|4||||Destroy target artifact, enchantment, or land.
45171|Crossbow Infantry|8E|Creature - Human Soldier Archer|C|1W|2|1|1||T: Crossbow Infantry deals 1 damage to target attacking or blocking creature.
45459|Crystal Rod|8E|Artifact|U|1|1||||Whenever a player casts a blue spell, you may pay 1. If you do, you gain 1 life.
45240|Curiosity|8E|Enchantment - Aura|U|U|1||||Enchant creature  Whenever enchanted creature deals damage to an opponent, you may draw a card.
45267|Daring Apprentice|8E|Creature - Human Wizard|R|1UU|3|1|1||T, Sacrifice Daring Apprentice: Counter target spell.
45301|Dark Banishing|8E|Instant|C|2B|3||||Destroy target nonblack creature. It can't be regenerated.
45338|Death Pit Offering|8E|Enchantment|R|2BB|4||||When Death Pit Offering enters the battlefield, sacrifice all creatures you control.  Creatures you control get +2/+2.
45329|Death Pits of Rath|8E|Enchantment|R|3BB|5||||Whenever a creature is dealt damage, destroy it. It can't be regenerated.
45309|Deathgazer|8E|Creature - Lizard|U|3B|4|2|2||Whenever Deathgazer blocks or becomes blocked by a nonblack creature, destroy that creature at end of combat.
45285|Deepwood Ghoul|8E|Creature - Zombie|C|2B|3|2|1||Pay 2 life: Regenerate Deepwood Ghoul.
45481|Defense Grid|8E|Artifact|R|2|2||||Each spell costs 3 more to cast except during its controller's turn.
45277|Deflection|8E|Instant|R|3U|4||||Change the target of target spell with a single target.
45244|Dehydration|8E|Enchantment - Aura|C|3U|4||||Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)  Enchanted creature doesn't untap during its controller's untap step.
45375|Demolish|8E|Sorcery|U|3R|4||||Destroy target artifact or land.
45185|Demystify|8E|Instant|C|W|1||||Destroy target enchantment.
45319|Diabolic Tutor|8E|Sorcery|U|2BB|4||||Search your library for a card and put that card into your hand. Then shuffle your library.
45480|Dingus Egg|8E|Artifact|R|4|4||||Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller.
45476|Disrupting Scepter|8E|Artifact|R|3|3||||3, T: Target player discards a card. Activate this ability only during your turn.
45473|Distorting Lens|8E|Artifact|R|2|2||||T: Target permanent becomes the color of your choice until end of turn.
45176|Diving Griffin|8E|Creature - Griffin|C|1WW|3|2|2||Flying, vigilance
45311|Drudge Skeletons|8E|Creature - Skeleton|C|1B|2|1|1||B: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
45288|Dusk Imp|8E|Creature - Imp|C|2B|3|2|1||Flying
45367|Dwarven Demolition Team|8E|Creature - Dwarf|U|2R|3|1|1||T: Destroy target Wall.
45325|Eastern Paladin|8E|Creature - Zombie Knight|R|2BB|4|3|3||BB, T: Destroy target green creature.
45495|Elfhame Palace|8E|Land|U||0||||Elfhame Palace enters the battlefield tapped.  T: Add G or W to your mana pool.
45214|Elite Archers|8E|Creature - Human Soldier Archer|R|5W|6|3|3||T: Elite Archers deals 3 damage to target attacking or blocking creature.
45199|Elite Javelineer|8E|Creature - Human Soldier|U|2W|3|2|2||Whenever Elite Javelineer blocks, it deals 1 damage to target attacking creature.
45442|Elvish Champion|8E|Creature - Elf|R|1GG|3|2|2||Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
45421|Elvish Lyrist|8E|Creature - Elf|U|G|1|1|1||G, T, Sacrifice Elvish Lyrist: Destroy target enchantment.
45413|Elvish Pioneer|8E|Creature - Elf Druid|C|G|1|1|1||When Elvish Pioneer enters the battlefield, you may put a basic land card from your hand onto the battlefield tapped.
45444|Elvish Piper|8E|Creature - Elf Shaman|R|3G|4|1|1||G, T: You may put a creature card from your hand onto the battlefield.
45422|Elvish Scrapper|8E|Creature - Elf|U|G|1|1|1||G, T, Sacrifice Elvish Scrapper: Destroy target artifact.
45446|Emperor Crocodile|8E|Creature - Crocodile|R|3G|4|5|5||When you control no other creatures, sacrifice Emperor Crocodile.
45357|Enrage|8E|Instant|U|XR|1||||Target creature gets +X/+0 until end of turn.
45478|Ensnaring Bridge|8E|Artifact|R|3|3||||Creatures with power greater than the number of cards in your hand can't attack.
45281|Evacuation|8E|Instant|R|3UU|5||||Return all creatures to their owners' hands.
45315|Execute|8E|Instant|U|2B|3||||Destroy target white creature. It can't be regenerated.  Draw a card.
45330|Fallen Angel|8E|Creature - Angel|R|3BB|5|3|3||Flying  Sacrifice a creature: Fallen Angel gets +2/+1 until end of turn.
45299|Fear|8E|Enchantment - Aura|C|BB|2||||Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)  Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
45451|Fecundity|8E|Enchantment|U|2G|3||||Whenever a creature dies, that creature's controller may draw a card.
45416|Fertile Ground|8E|Enchantment - Aura|C|1G|2||||Enchant land  Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool (in addition to the mana the land produces).
45253|Fighting Drake|8E|Creature - Drake|U|2UU|4|2|4||Flying
45238|Flash Counter|8E|Instant|C|1U|2||||Counter target instant spell.
45372|Flashfires|8E|Sorcery|U|3R|4||||Destroy all Plains.
45265|Fleeting Image|8E|Creature - Illusion|R|2U|3|2|1||Flying (This creature can't be blocked except by creatures with flying or reach.)  1U: Return Fleeting Image to its owner's hand.
45236|Flight|8E|Enchantment - Aura|C|U|1||||Enchant creature  Enchanted creature has flying.
45489|Flying Carpet|8E|Artifact|R|4|4||||2, T: Target creature gains flying until end of turn.
45467|Fodder Cannon|8E|Artifact|U|4|4||||4, T, Sacrifice a creature: Fodder Cannon deals 4 damage to target creature.
45424|Foratog|8E|Creature - Atog|U|2G|3|1|2||G, Sacrifice a Forest: Foratog gets +2/+2 until end of turn.
46454|Forest|8E|Basic Land - Forest|C||0||||G
45225|Fugitive Wizard|8E|Creature - Human Wizard|C|U|1|1|1||
45441|Fungusaur|8E|Creature - Fungus Lizard|R|3G|4|2|2||Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.
45398|Furnace of Rath|8E|Enchantment|R|1RRR|4||||If a source would deal damage to a creature or player, it deals double that damage to that creature or player instead.
45423|Fyndhorn Elder|8E|Creature - Elf Druid|U|2G|3|1|1||T: Add GG to your mana pool.
45440|Gaea's Herald|8E|Creature - Elf|R|1G|2|1|1||Creature spells can't be countered.
45425|Giant Badger|8E|Creature - Badger|C|1GG|3|2|2||Whenever Giant Badger blocks, it gets +2/+2 until end of turn.
45292|Giant Cockroach|8E|Creature - Insect|C|3B|4|4|2||
45414|Giant Growth|8E|Instant|C|G|1||||Target creature gets +3/+3 until end of turn.
45408|Giant Spider|8E|Creature - Spider|C|3G|4|2|4||Reach (This creature can block creatures with flying.)
45218|Glorious Anthem|8E|Enchantment|R|1WW|3||||Creatures you control get +1/+1.
45173|Glory Seeker|8E|Creature - Human Soldier|C|1W|2|2|2||
47282|Gluttonous Zombie|8E|Creature - Zombie|U|4B|5|3|3||Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
45344|Goblin Chariot|8E|Creature - Goblin Warrior|C|2R|3|2|2||Haste (This creature can attack the turn it comes under your control.)
45363|Goblin Glider|8E|Creature - Goblin|U|1R|2|1|1||Flying  Goblin Glider can't block.
45384|Goblin King|8E|Creature - Goblin|R|1RR|3|2|2||Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.)
45343|Goblin Raider|8E|Creature - Goblin Warrior|C|1R|2|2|2||Goblin Raider can't block.
45336|Grave Pact|8E|Enchantment|R|1BBB|4||||Whenever a creature you control dies, each other player sacrifices a creature.
45293|Gravedigger|8E|Creature - Zombie|C|3B|4|2|2||When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.
45402|Grizzly Bears|8E|Creature - Bear|C|1G|2|2|2||
45376|Guerrilla Tactics|8E|Instant|U|1R|2||||Guerrilla Tactics deals 2 damage to target creature or player.  When a spell or ability an opponent controls causes you to discard Guerrilla Tactics, Guerrilla Tactics deals 4 damage to target creature or player.
49039|Hammer of Bogardan|8E|Sorcery|R|1RR|3||||Hammer of Bogardan deals 3 damage to target creature or player.  2RRR: Return Hammer of Bogardan from your graveyard to your hand. Activate this ability only during your upkeep.
45180|Healing Salve|8E|Instant|C|W|1||||Choose one -  - Target player gains 3 life.  - Prevent the next 3 damage that would be dealt to target creature or player this turn.
47600|Hibernation|8E|Instant|U|2U|3||||Return all green permanents to their owners' hands.
45348|Hill Giant|8E|Creature - Giant|C|3R|4|3|3||
45181|Holy Day|8E|Instant|C|W|1||||Prevent all combat damage that would be dealt this turn.
45182|Holy Strength|8E|Enchantment - Aura|C|W|1||||Enchant creature  Enchanted creature gets +1/+2.
45168|Honor Guard|8E|Creature - Human Soldier|C|W|1|1|1||W: Honor Guard gets +0/+1 until end of turn.
45404|Horned Troll|8E|Creature - Troll|C|2G|3|2|2||G: Regenerate Horned Troll.
45229|Horned Turtle|8E|Creature - Turtle|C|2U|3|1|4||
45474|Howling Mine|8E|Artifact|R|2|2||||At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card.
45371|Hulking Cyclops|8E|Creature - Cyclops|U|3RR|5|5|5||Hulking Cyclops can't block.
45426|Hunted Wumpus|8E|Creature - Beast|U|3G|4|6|6||When Hunted Wumpus enters the battlefield, each other player may put a creature card from his or her hand onto the battlefield.
45259|Index|8E|Sorcery|C|U|1||||Look at the top five cards of your library, then put them back in any order.
45394|Inferno|8E|Instant|R|5RR|7||||Inferno deals 6 damage to each creature and each player.
45246|Inspiration|8E|Instant|C|3U|4||||Target player draws two cards.
45208|Intrepid Hero|8E|Creature - Human Soldier|R|2W|3|1|1||T: Destroy target creature with power 4 or greater.
45258|Intruder Alarm|8E|Enchantment|R|2U|3||||Creatures don't untap during their controllers' untap steps.  Whenever a creature enters the battlefield, untap all creatures.
45237|Invisibility|8E|Enchantment - Aura|U|UU|2||||Enchant creature  Enchanted creature can't be blocked except by Walls.
45461|Iron Star|8E|Artifact|U|1|1||||Whenever a player casts a red spell, you may pay 1. If you do, you gain 1 life.
46442|Island|8E|Basic Land - Island|C||0||||U
45458|Ivory Cup|8E|Artifact|U|1|1||||Whenever a player casts a white spell, you may pay 1. If you do, you gain 1 life.
45223|Ivory Mask|8E|Enchantment|R|2WW|4||||You have shroud. (You can't be the target of spells or abilities.)
45482|Jayemdae Tome|8E|Artifact|R|4|4||||4, T: Draw a card.
49011|Karma|8E|Enchantment|U|2WW|4||||At the beginning of each player's upkeep, Karma deals damage to that player equal to the number of Swamps he or she controls.
45332|Larceny|8E|Enchantment|R|3BB|5||||Whenever a creature you control deals combat damage to a player, that player discards a card.
45362|Lava Axe|8E|Sorcery|C|4R|5||||Lava Axe deals 5 damage to target player.
45383|Lava Hounds|8E|Creature - Hound|R|2RR|4|4|4||Haste  When Lava Hounds enters the battlefield, it deals 4 damage to you.
45370|Lesser Gargadon|8E|Creature - Beast|U|2RR|4|6|4||Whenever Lesser Gargadon attacks or blocks, sacrifice a land.
46622|Lhurgoyf|8E|Creature - Lhurgoyf|R|2GG|4|*|1+*||Lhurgoyf's power is equal to the number of creature cards in all graveyards and its toughness is equal to that number plus 1.
45361|Lightning Blast|8E|Instant|U|3R|4||||Lightning Blast deals 4 damage to target creature or player.
45349|Lightning Elemental|8E|Creature - Elemental|C|3R|4|4|1||Haste (This creature can attack and T as soon as it comes under your control.)
45430|Living Terrain|8E|Enchantment - Aura|U|2GG|4||||Enchant land  Enchanted land is a 5/6 green Treefolk creature that's still a land.
45429|Llanowar Behemoth|8E|Creature - Elemental|U|3GG|5|4|4||Tap an untapped creature you control: Llanowar Behemoth gets +1/+1 until end of turn.
45405|Lone Wolf|8E|Creature - Wolf|C|2G|3|2|2||You may have Lone Wolf assign its combat damage as though it weren't blocked.
45289|Looming Shade|8E|Creature - Shade|C|2B|3|1|1||B: Looming Shade gets +1/+1 until end of turn.
45324|Lord of the Undead|8E|Creature - Zombie|R|1BB|3|2|2||Other Zombie creatures get +1/+1.  1B, T: Return target Zombie card from your graveyard to your hand.
45437|Lure|8E|Enchantment - Aura|U|1GG|3||||Enchant creature  All creatures able to block enchanted creature do so.
45283|Maggot Carrier|8E|Creature - Zombie|C|B|1|1|1||When Maggot Carrier enters the battlefield, each player loses 1 life.
45270|Mahamoti Djinn|8E|Creature - Djinn|R|4UU|6|5|6||Flying (This creature can't be blocked except by creatures with flying or reach.)
45391|Mana Clash|8E|Sorcery|R|R|1||||You and target opponent each flip a coin. Mana Clash deals 1 damage to each player whose coin comes up tails. Repeat this process until both players' coins come up heads on the same flip.
45242|Mana Leak|8E|Instant|C|1U|2||||Counter target spell unless its controller pays 3.
45445|Maro|8E|Creature - Elemental|R|2GG|4|*|*||Maro's power and toughness are each equal to the number of cards in your hand.
45169|Master Decoy|8E|Creature - Human Soldier|C|1W|2|1|2||W, T: Tap target creature.
45213|Master Healer|8E|Creature - Human Cleric|R|4W|5|1|4||T: Prevent the next 4 damage that would be dealt to target creature or player this turn.
45316|Megrim|8E|Enchantment|U|2B|3||||Whenever an opponent discards a card, Megrim deals 2 damage to that player.
45231|Merchant of Secrets|8E|Creature - Human Wizard|C|2U|3|1|1||When Merchant of Secrets enters the battlefield, draw a card.
45275|Merchant Scroll|8E|Sorcery|U|1U|2||||Search your library for a blue instant card, reveal that card, and put it into your hand. Then shuffle your library.
45452|Might of Oaks|8E|Instant|R|3G|4||||Target creature gets +7/+7 until end of turn.
45475|Millstone|8E|Artifact|R|2|2||||2, T: Target player puts the top two cards of his or her library into his or her graveyard.
45274|Mind Bend|8E|Instant|R|U|1||||"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)"
45302|Mind Rot|8E|Sorcery|C|2B|3||||Target player discards two cards.
45304|Mind Slash|8E|Enchantment|U|1BB|3||||B, Sacrifice a creature: Target opponent reveals his or her hand. You choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery.
45320|Mind Sludge|8E|Sorcery|U|4B|5||||Target player discards a card for each Swamp you control.
45381|Mogg Sentry|8E|Creature - Goblin Warrior|R|R|1|1|1||Whenever an opponent casts a spell, Mogg Sentry gets +2/+2 until end of turn.
45412|Monstrous Growth|8E|Sorcery|C|1G|2||||Target creature gets +4/+4 until end of turn.
45411|Moss Monster|8E|Creature - Elemental|C|3GG|5|3|6||
46450|Mountain|8E|Basic Land - Mountain|C||0||||R
45335|Murderous Betrayal|8E|Enchantment|R|BBB|3||||BB, Pay half your life, rounded up: Destroy target nonblack creature. It can't be regenerated.
45407|Nantuko Disciple|8E|Creature - Insect Druid|C|3G|4|2|2||G, T: Target creature gets +2/+2 until end of turn.
45449|Natural Affinity|8E|Instant|R|2G|3||||All lands become 2/2 creatures until end of turn. They're still lands.
45420|Naturalize|8E|Instant|C|1G|2||||Destroy target artifact or enchantment.
45298|Nausea|8E|Sorcery|C|1B|2||||All creatures get -1/-1 until end of turn.
45310|Nekrataal|8E|Creature - Human Assassin|U|2BB|4|2|1||First strike  When Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated.
45331|Nightmare|8E|Creature - Nightmare Horse|R|5B|6|*|*||Flying (This creature can't be blocked except by creatures with flying or reach.)  Nightmare's power and toughness are each equal to the number of Swamps you control.
45224|Noble Purpose|8E|Enchantment|R|3WW|5||||Whenever a creature you control deals combat damage, you gain that much life.
45409|Norwood Ranger|8E|Creature - Elf Scout|C|G|1|1|2||
45396|Obliterate|8E|Sorcery|R|6RR|8||||Obliterate can't be countered.  Destroy all artifacts, creatures, and lands. They can't be regenerated.
45369|Ogre Taskmaster|8E|Creature - Ogre|U|3R|4|4|3||Ogre Taskmaster can't block.
45382|Okk|8E|Creature - Goblin|R|1R|2|4|4||Okk can't attack unless a creature with greater power also attacks.  Okk can't block unless a creature with greater power also blocks.
45210|Oracle's Attendants|8E|Creature - Human Soldier|R|3W|4|1|5||T: All damage that would be dealt to target creature this turn by a source of your choice is dealt to Oracle's Attendants instead.
